Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_9	blaSHV	beta-lactamase
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_5	blaTEM	beta-lactamase
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_13	strA	aminoglycoside
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_28	sul2	sulphonamide
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_20	blaCTX	beta-lactamase
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_34	sul1, sul3	sulphonamide
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_33	blaCMY, blaLAT, blaBIL	beta-lactamase
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_39	blaOXA	beta-lactamase
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_77	aac3	aminoglycoside
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_183	blaNDM	beta-lactamase
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_101	oqxA	quinolone
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_186	fosA	fosfomycin
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_232	aadA	aminoglycoside
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_209	tetA	tetracycline
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_321	dfrA14	trimethoprim
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_329	QnrB	quinolone
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_313	tetA	tetracycline
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_342	aac6	aminoglycoside
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_345	blaCTX	beta-lactamase
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_475	rmtC	aminoglycoside
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_514	mphA	macrolide
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_525	blaCTX	beta-lactamase
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_544	strB	aminoglycoside
Fri Apr 28 04:52:08 UTC 2017	240	12931	58686821	JSA_490	oqxB	quinolone